nahuatl,spanish
Auh in ic nappa tenotzaya icuac in ye yuh moztla miquizque tlaaltiltin.,La cuarta vez en que invitaba a la gente era cuando al día siguiente iban a morir los bañados.
"XI Tochtli xihuitl, 1386.","11 Tochtli, 1386."
Yoan nicteneua tepancalco toctitoc tetl cenmatl necoc yaualti cenquapantli yntech pouiz yn noxuiuan Joana Maximiliana yoan nicuhtzitziuan Simon Pedro yoan Bernaldino.,"Yten declaro que en el cercado está enterrada una braza de piedra que es en quadra que la una bara della mando la aya y herede la dicha mi nieta Juana Maximiliana y (lo demas ayan) los dichos mis visnietos, Simon, Pedro y Bernardino."
"Quemaj on rey ijquin oquinnahuatij on yejhuan tetlamacayaj: “Xmasajsalocan niman xquicxisajsalocan, niman xcontlajcalican campa tlayohuatoc campa chocas niman notlantotopotzas.”","Entonces el rey dijo a los que servían: ""Atadle los pies y las manos y echadle en las tinieblas de afuera.""Allí habrá llanto y crujir de dientes"
"Ipampa itlaneltoc, Isaac oquiprometerohuilij Jacob ihuan Esaú miyec tlatiochihualistli yejhuan saquin oquiselijquej.",Por la fe Isaac bendijo a Jacob y a Esaú respecto al porvenir
"¿aocmo mictlani?,","¿ya no están dispuestos a morir?,"
"Auh ynic quimotlalilique omoteneuhtzino sancto yn oncan ycapillatzin huey tlayahualoliztica; oncan quimanillico yn Sant Augustín yn ciudad tlaca, mochintin yn tlahtoque visurrey oydores, ynic mochintin omicuiloque oncan ycapillatzin sancto, yn iuh neztica axcan.","Y para colocar la imagen del dicho santo en su capilla se hizo una gran procesión; fueron a traerla de la iglesia de San Agustín las autoridades de la ciudad, el señor virrey y los oidores, de todos los cuales se inscribieron los nombres en la capilla del santo, como todavía puede verse."
"Xochitica ye ihuan cuicatica niquimilnamiqui tepilhuan,","Con flores y con cantosrecuerdo a los príncipes,"
"Jesús xoquinchihuilij cuenta on tlinon oquijtojquej, niman oquijlij on tlayecanquetl ipan on tiopan: ―Ma ca xmomojti, yej san xnechneltoca melahuac.","Pero Jesús, sin hacer caso a esta palabra que se decía, dijo al principal de la sinagoga: --No temas; sólo cree"
"yej pampa tejhuamej techajmatzticatca.Yejhua in tlanahuatijli tlajtohua ica tejhuamej yejhuan tiitlaquehualhuan toTeco.Yejhua ica, tej, sanquen on tlacatl yejhuan tlaxoponia niman on yejhuan pixca quitocarohua tequitisquej ican tlamachalistli para cada se quiselis on tlacyotl yejhuan quitocarohua.","¿O lo dice enteramente para nosotros?Pues para nosotros está escrito.Porque el que ara ha de arar con esperanza; y el que trilla, con esperanza de participar del fruto"
"Oncan quitlamique yn quecholli, niman panquetzalliztli, niman atemoztli, niman tititl, niman yzcalli, atlcahualo, niman tlaccaxipehualiztli, niman toçoztontli, niman hueytoçoztli.","Allá terminaron la veintena de quecholli; y luego vinieron las de panquetzaliztli, atemoztli, títitl, izcalli, atlcahualo, tlacaxipehualiztli, tozoztontli y hueitozoztli."
"Nican ypan in yn motlahtocatlallique yn Aoquantzin Chichimecateuhctli yhuan Cohuaçacatzin, macihui y çan oc yehuatl yn inantzin cihuatlahtocamacoc, yn Amaquemecan tlahtoque.","En este año se enseñorearon como tlatoque de Amaquemecan Ayocuantzin Chichimecateuctli y Cohuazacatzin, si bien fue a la madre de éste a quien se entregó el señorío."
Quemaj on capitán Julio oquinextij se barco yejhuan teyaxca Alejandría yejhuan yaya para Italia.Niman ipan yejhua on barco otechcalaquij.,"El centurión encontró allí una nave alejandrina que navegaba a Italia, y nos embarcó en ella"
"Auh ma oc omoçahua yn nohueltiuh yn Chalchiuhtlicue"".","Y que mi hermana mayor Chalchiuhtlicue ayune en adelante""."
"Yn iuh quitotihui yn omoteneuhque huehuetque, quilmach ye quin ihquac yn omocuepaco nican occeppa yn Atonaltzin, ye quin ihquac yn inecuepyan, yn iuh conitohua amo huel cemilhuitl, ynic niman ye tlalmacehua ye tlallicuillohua yn imomextin omoteneuhque tlahtoque; ye quimacehua yn quahuixtlahuatl yn cuillotl yn cacatl yn tepetl yn atlauhtli, in ye mochi yn ixquichtlamantli yn iuh omoteneuh tlacpac.","Según afirman estos antiguos, sólo hasta después de que Atonaltzin regresó nuevamente acá, sólo hasta después de su regreso, aunque dicen que no de una vez, ambos tlatoque merecieron y trazaron sus tierras; fueron mereciendo los llanos boscosos, los herbazales, los zacatales, los cerros y las barrancas, en fin, todo lo que se dijo arriba."
"Cuajli Nicyolmatzticaj ica Dios, yejhuan opeu quichihua cuajli itequiu ipan nemoyojlo, quichijtias hasta ipan on tonajli ijcuac Jesucristo huajlas.","estando convencido de esto: que el que en vosotros comenzó la buena obra, la perfeccionará hasta el día de Cristo Jesús"
"Xotinechtlalilij aceite ipan notzontecon, pero yejhua oquitoyau aceite ajhuiyac ipan nocxihuan.","Tú no ungiste mi cabeza con aceite, pero ésta ha ungido mis pies con perfume"
"Quemaj Jesús oquintlalilij yejhua in ejemplo: ―Sen tlacatl quipiaya se higuera cojtli ne ipan itlal, niman se tonajli yejhua oquitato tla yotlac, pero xitlaj oquinextilij itlaquilyo.","Entonces dijo esta parábola: ""Cierto hombre tenía una higuera plantada en su viña, y fue a buscar fruto en ella y no lo halló"
Auh yn occequin nocalpatiyouh misa yc nopan mitoz yuan tonehoan yn achtopa nonamic catca ytoca catca Joana auh yn quin axcan nonamic Ynes Papan ca oce nicchihuili nopiltzin Joana ca mochi yntech niccahoan yn calli ayac quincuiliz auh in nonamic macoz in castoli pesos yn iquac omonamac yn calli ca nel ynemac ca yuh niquitohoa y notlatol.,Yten y que lo demas que restare de lo procedido de la dicha mi casa se digan misas por mi anima e por la de mi primera muger que se decia Juana y la muger que de presente tengo que se dice lnes Papan en quien tengo una hija llamada Juana las quales doy las casas que no se las tome nadie y a la dicha mi muger se le den quince pesos despues de averse bendido las casas porque son suyos y ansi lo digo y declaro.
"contzaquaco teocuitlatla, yen oc on ana xiuhtlacuilolli.","por esto vino a esconder el oro y la plata, por esto toma los libros de pinturas del año."
"niman on Espíritu Santo ohuajtemoc quen itlaj paloma ipan Jesús.Niman quemaj ocaquistic se tlajtojli ne ilhuicac yejhuan quijtohuaya: ―Tejhua tinotlajsojcaConetzin, niman moca nipacticaj.","y el Espíritu Santo descendió sobre él en forma corporal, como paloma.Luego vino una voz del cielo: ""Tú eres mi Hijo amado; en ti tengo complacencia."
".	Auh in ye iuhqui in ommotlatlauhtique in om mocepan chicauaque, niman ye ic qui ual moxelhuia: on tzontli concui in cuachtli tenochca, auh no on tzontli concui in tlatilolca.",".     Y hecho así, cuando ya hablaron entre sí, cuando unos con otros se reanimaron, luego, se hacen uno a otros el reparto:ochocientas mantas chicas toman los tenochcas, y también ochocintas mantas chicas toman los tlatelolcas."
"Auh axcan juebes yn ic 11 mani metztli abril de 1613 años ye teotlac, yhcuac nican Mexico mocallaquico ynic hualmocueptzino in yehuatzin cenca mahuiztililoni in ye teopixcatlahtohuani omuchiuhtzinoto clérigo don Pedro de Otálora presidente Audiencia Real Mexico, ynic ompa omohuicaya omoteochiuhtzinoto la ciudad de los Ángeles Cuitlaxcohuapan yn ica epístola yhuan yca evangelio yhuan yca yn missa oquimochihuilli; çan oppa yca yn oquimoteochihuilli ynic ce quaresma oquiz yn obispo don Alonso de la Mota y Escobar, ca yuh hualmotlanahuatilli yn Sancto Padre ynic çan eilhuitl || 216 teochihualoz.","El jueves 11 de abril de 1613, por la tarde, regresó y entró a la ciudad de México el muy reverendo don Pedro de Otálora, presidente de la Real Audiencia de México, ya convertido en clérigo, el cual había ido a la ciudad de los Ángeles Cuetlaxcohuapan para ser allá ordenado con la epístola, con el evangelio y para decir la misa; en dos días lo ordenó, hacia el final de la cuaresma, el obispo don Alonso de la Mota y Escobar, habiendo mandado el Santo Padre que fuera ordenado en tres días."
Tlahco kilo capolyollotl,½ kilo de huesitos de capulín
Xpiacan cuidado on tlen on Espíritu Santo quimijlia on tlaneltocaquej.,"""El que tiene oído, oiga lo que el Espíritu dice a las iglesias"
"Oncan tlami yn yn intlahtollo yn ulmeca yn xicallanca yn xochteca yn quiyahuizteca yn cucolca yn achtopa oncan onemico Chalchiuhmomozco, yn axcan oncan ye Amaquemecan.","Aquí termina esta historia sobre los olmecas xicalancas xochtecas quiyahuiztecas cocolcas, que fueron los primeros que llegaron a vivir en Chalchiuhmomozco, donde ahora se nombra Amaquemecan."
On comandante quinequiya cajsicamatis on tlen melahuac on tlinon ica on hebreos quiteixpanhuiyaj Pablo.Yejhua ica huajmostla oquitojton Pablo ica on teposcadena niman otlanahuatij ma huajhuiyan niman ma nosentlalican on tiopixquej tlayecanquej niman nochimej on tetlacanonotzquej.Quemaj oquixtij Pablo niman oquitelquetz imixpan.,"Al día siguiente, queriendo saber con certeza la verdadera razón por la que era acusado por los judíos, le desató y mandó reunir a todos los principales sacerdotes y a todo el Sanedrín de ellos.Y sacando a Pablo, lo presentó delante de ellos"
"Matlactli Acatl yc poliuhque cuetlaxteca, tlacatecati Moquiuitzi Tzonpantecuhtli; amono yehuan tenochca, çan ineyxcauil y Moquiuixtli, ça uallilloque yn tenochca.","En el año 10 Ácatl 1463 fueron derrotados los cuetlaxtecas, siendo tlacatécatl Moquihuitzin Tzonpanteuctli; y no intervinieron en la batalla los tenochcas, pues fue empresa sólo de Moquíhuix, ya que los tenochcas se volvieron del camino."
TEQUIMAQUIZTLI,Imperativo.
"'Aman, tej, on Espíritu Santo nechchihualtia nias ne Jerusalén, niman nion nicmati tlinon ompa nopan nochihuas.","""Ahora, he aquí yo voy a Jerusalén con el espíritu encadenado, sin saber lo que me ha de acontecer allí"
"Nican ypan in yn omiquico yn itoca Nauhyotzin yn tlahtohuani catca Colhuacan, auh yn tlahtocat onpohualxihuitl onchicome; auh niman onmotlahtocatlalli yn itoca Quauhtexpetlatzin tlahtohuani Colhuacan.","En este año murió Nauhyotzin, tlatohuani de Colhuacan, que gobernó durante 47 años; y enseguida se enseñoreó Cuauhtexpetlatzin como tlatohuani de Colhuacan."
"VI Calli xihuitl, 1173.","6 Calli, 1173."
